Image,PSNR,SSIM,lpips,MOS
subject_015_sub_rate_2,41.3284872,0.999999696,0.019791486,57.93650794
subject_015_sub_rate_4,35.93403264,0.999998145,0.061077662,62.9478458
subject_015_sub_rate_8,33.12737374,0.999991831,0.09247797,43.01587302
subject_021_cn_sigma_20,32.04752644,0.99999504,0.209755108,63.21995465
subject_021_cn_sigma_40,26.50408841,0.999959699,0.370294958,43.5600907
subject_021_cn_sigma_60,23.37871111,0.99986341,0.466493279,40.97505669
subject_021_cn_sigma_80,21.27353077,0.999667626,0.528994739,25.57823129
subject_021_gn_sigma_0.05,27.36956918,0.999966091,0.189373046,42.17687075
subject_021_gn_sigma_0.1,22.86728457,0.999798192,0.263722926,27.34693878
subject_021_gn_sigma_0.15,20.53047777,0.999645808,0.301647127,19.09297052
subject_021_gn_sigma_0.2,18.99436169,0.999598123,0.321308613,14.92063492
subject_021_jpeg_q_10,35.51464396,0.99999728,0.067617089,43.46938776
subject_021_jpeg_q_15,38.04572038,0.999999905,0.043911412,69.88662132
subject_021_jpeg_q_20,40.29509257,0.999999956,0.025799165,55.98639456
subject_021_jpeg_q_3,26.69276267,0.999747153,0.16374515,19.63718821
subject_021_qp_level_6,14.9543202,0.974775636,0.398241848,3.242630385
subject_021_qp_level_7,16.52953306,0.987825273,0.354478449,6.575963719
subject_021_qp_level_8,18.5711309,0.997731543,0.308387816,7.414965986
subject_021_qp_level_9,22.18206675,0.999778046,0.273972839,17.0521542
subject_021_qt_level_10,31.34238021,0.999995873,0.114188112,57.09750567
subject_021_qt_level_7,27.65326168,0.999982582,0.160189241,29.65986395
subject_021_qt_level_8,29.36637312,0.99999706,0.139837474,45.69160998
subject_021_qt_level_9,30.63126521,0.999995782,0.122094683,52.92517007
subject_021_simp_rate_0.05,30.82258005,0.999999673,0.120358191,37.25623583
subject_021_simp_rate_0.1,32.37105685,0.99999991,0.092060767,45.51020408
subject_021_simp_rate_0.2,33.59671251,0.999999909,0.063263148,70.27210884
subject_021_simp_rate_0.4,35.72969986,0.999999968,0.036934983,76.19047619
subject_021_sub_rate_16,30.73605859,0.999960972,0.080632336,34.94331066
subject_021_sub_rate_2,42.31833777,0.999999561,0.017472267,62.65306122
subject_021_sub_rate_4,37.07660401,0.999996603,0.04584099,65.53287982
subject_021_sub_rate_8,33.79204398,0.999987095,0.065798096,60.06802721
subject_023_cn_sigma_20,32.64793455,0.999994551,0.177304655,63.1292517
subject_023_cn_sigma_40,27.06531459,0.999916635,0.323326647,44.67120181
subject_023_cn_sigma_60,23.91497132,0.99953558,0.407822639,38.84353741
subject_023_cn_sigma_80,21.84279302,0.998666317,0.460855752,32.81179138
subject_023_gn_sigma_0.05,27.02447738,0.999934998,0.180886641,40.97505669
subject_023_gn_sigma_0.1,22.32810758,0.999535873,0.252573013,27.70975057
subject_023_gn_sigma_0.15,20.17320422,0.999109101,0.28322196,8.526077098
subject_023_gn_sigma_0.2,18.55397835,0.998872889,0.302371979,7.777777778
subject_023_jpeg_q_10,36.25546421,0.999991275,0.059009772,58.48072562
subject_023_jpeg_q_15,38.88407813,0.999999623,0.033810858,34.85260771
subject_023_jpeg_q_20,41.43867495,0.999998202,0.019602545,64.24036281
subject_023_jpeg_q_3,26.96094458,0.99952382,0.145280555,12.13151927
subject_023_qp_level_6,14.81355966,0.932434608,0.348141074,4.353741497
subject_023_qp_level_7,15.73031208,0.969260925,0.320464671,0
subject_023_qp_level_8,17.87564985,0.99496334,0.277765483,5.37414966
subject_023_qp_level_9,21.60523185,0.999424987,0.260208338,20.20408163
subject_023_qt_level_10,30.96482017,0.999990128,0.111765273,60.15873016
subject_023_qt_level_7,28.16699365,0.999986784,0.130445153,11.02040816
subject_023_qt_level_8,29.76073552,0.999987065,0.121513434,47.7324263
subject_023_qt_level_9,30.51753732,0.999989919,0.11474476,55.98639456
subject_023_simp_rate_0.05,30.80402799,0.999999127,0.116295494,42.44897959
subject_023_simp_rate_0.1,31.47888401,0.999999543,0.089881182,53.01587302
subject_023_simp_rate_0.2,34.10741986,0.999999958,0.058541954,69.97732426
subject_023_simp_rate_0.4,36.36243062,0.999999995,0.030504705,62.01814059
subject_023_sub_rate_16,31.72038137,0.999949291,0.048390374,22.24489796
subject_023_sub_rate_2,43.76323378,0.999999666,0.011016246,77.3015873
subject_023_sub_rate_4,38.84267903,0.999997404,0.027163539,69.88662132
subject_023_sub_rate_8,35.30422389,0.999986497,0.037719969,27.34693878
subject_037_cn_sigma_20,32.91497628,0.999999925,0.170903981,66.19047619
subject_037_cn_sigma_40,27.41752609,0.999986811,0.311994135,50.79365079
subject_037_cn_sigma_60,24.2141494,0.99994333,0.392510623,45.69160998
subject_037_cn_sigma_80,21.99590936,0.999888911,0.44761458,50.70294785
subject_037_gn_sigma_0.05,28.29967897,0.999988832,0.160339445,34.46712018
subject_037_gn_sigma_0.1,24.03947906,0.999939138,0.221977174,39.20634921
subject_037_gn_sigma_0.15,21.70751473,0.999904537,0.258426934,23.17460317
subject_037_gn_sigma_0.2,20.08298909,0.999900729,0.277225286,19.36507937
subject_037_jpeg_q_10,36.87016992,0.999999451,0.055702571,51.72335601
subject_037_jpeg_q_15,38.89331805,0.99999848,0.035767596,86.93877551
subject_037_jpeg_q_20,40.80602006,0.999999832,0.023026956,71.83673469
subject_037_jpeg_q_3,28.06949702,0.999897628,0.126566604,10.56689342
subject_037_qp_level_6,16.02077135,0.992902284,0.343266666,8.888888889
subject_037_qp_level_7,17.24014153,0.996114401,0.307020336,9.727891156
subject_037_qp_level_8,19.5654321,0.999246634,0.261812449,6.666666667
subject_037_qp_level_9,23.13293333,0.999934621,0.230838731,22.42630385
subject_037_qt_level_10,32.18097983,0.999998726,0.09986449,58.11791383
subject_037_qt_level_7,28.88240853,0.999999367,0.142468527,24.64852608
subject_037_qt_level_8,30.56298226,0.999998909,0.121792145,52.92517007
subject_037_qt_level_9,31.61364432,0.999998508,0.105918452,49.86394558
subject_037_simp_rate_0.05,31.75731463,0.999999757,0.08215905,36.14512472
subject_037_simp_rate_0.1,32.60773333,0.999999971,0.061171602,43.37868481
subject_037_simp_rate_0.2,34.98937415,0.999999988,0.037827767,80.81632653
subject_037_simp_rate_0.4,36.29818199,0.999999995,0.020991968,72.85714286
subject_037_sub_rate_16,31.5891363,0.999986033,0.083079442,38.18594104
subject_037_sub_rate_2,42.60221501,0.999999667,0.015745439,78.50340136
subject_037_sub_rate_4,37.98805055,0.999998855,0.043895006,73.51473923
subject_037_sub_rate_8,34.71940539,0.999995646,0.066037036,46.62131519
subject_038_cn_sigma_20,31.8636883,0.999997864,0.206046253,75.62358277
subject_038_cn_sigma_40,26.33512618,0.999973093,0.380501777,42.83446712
subject_038_cn_sigma_60,23.18431809,0.999878455,0.48390767,35.78231293
subject_038_cn_sigma_80,21.06150075,0.999707933,0.547876656,35.78231293
subject_038_gn_sigma_0.05,29.64893891,0.999999133,0.121936649,40.22675737
subject_038_gn_sigma_0.1,25.38210493,0.999992987,0.198488161,40.58956916
subject_038_gn_sigma_0.15,23.36337902,0.999981356,0.237950936,21.0430839
subject_038_gn_sigma_0.2,21.67687959,0.999983557,0.26840362,15.01133787
subject_038_jpeg_q_10,35.14402207,0.999998685,0.076444097,45.69160998
subject_038_jpeg_q_15,36.99608875,0.999999348,0.053761061,54.21768707
subject_038_jpeg_q_20,38.60612449,0.999999313,0.033990048,70.90702948
subject_038_jpeg_q_3,26.80224848,0.999935467,0.181627661,29.75056689
subject_038_qp_level_6,16.26686712,0.995643505,0.387892962,5.192743764
subject_038_qp_level_7,17.63326609,0.998147858,0.341460913,12.87981859
subject_038_qp_level_8,19.50192549,0.999829574,0.281170905,9.727891156
subject_038_qp_level_9,23.35106632,0.999990459,0.235991359,23.35600907
subject_038_qt_level_10,31.4967928,0.999999361,0.090859659,62.19954649
subject_038_qt_level_7,26.78491069,0.999996674,0.166897669,32.81179138
subject_038_qt_level_8,28.41935069,0.999996695,0.135778233,44.12698413
subject_038_qt_level_9,30.14767624,0.999999215,0.107919812,49.59183673
subject_038_simp_rate_0.05,29.52041007,0.999999739,0.107204199,48.84353741
subject_038_simp_rate_0.1,32.2004117,0.999999966,0.080776773,58.57142857
subject_038_simp_rate_0.2,33.88442276,0.999999991,0.052927043,72.19954649
subject_038_simp_rate_0.4,35.85369687,0.99999999,0.030416137,73.96825397
subject_038_sub_rate_16,29.7610779,0.999955828,0.128488705,33.92290249
subject_038_sub_rate_2,39.11000253,0.999999197,0.029729359,69.88662132
subject_038_sub_rate_4,34.30135634,0.999994653,0.080484398,63.40136054
subject_038_sub_rate_8,31.83195475,0.999983545,0.112614155,48.39002268
subject_045_cn_sigma_20,33.12835182,0.999996799,0.131971925,95.8276644
subject_045_cn_sigma_40,27.57054572,0.9999476,0.261252284,39.77324263
subject_045_cn_sigma_60,24.40214663,0.9998326,0.340127558,40.22675737
subject_045_cn_sigma_80,22.2714951,0.999698396,0.385365009,41.24716553
subject_045_gn_sigma_0.05,30.10696284,0.999999269,0.093621433,59.138322
subject_045_gn_sigma_0.1,25.78297558,0.999994006,0.156616464,42.72108844
subject_045_gn_sigma_0.15,23.52975252,0.999989044,0.193380266,27.80045351
subject_045_gn_sigma_0.2,21.76017046,0.999986639,0.217682347,21.13378685
subject_045_jpeg_q_10,36.58818158,0.999999804,0.051944785,42.44897959
subject_045_jpeg_q_15,38.90532008,0.999999999,0.033518292,73.1292517
subject_045_jpeg_q_20,40.52756597,0.999999978,0.023862749,69.04761905
subject_045_jpeg_q_3,27.59795674,0.999990881,0.145713791,13.80952381
subject_045_qp_level_6,16.37562678,0.994793665,0.297010303,9.727891156
subject_045_qp_level_7,17.82603529,0.997230614,0.257879972,10.74829932
subject_045_qp_level_8,19.98698453,0.999597039,0.213887945,15.19274376
subject_045_qp_level_9,23.32641212,0.999990179,0.186921626,15.85034014
subject_045_qt_level_10,31.98465665,0.999999899,0.067531347,69.34240363
subject_045_qt_level_7,28.65808039,0.999997098,0.110171139,31.88208617
subject_045_qt_level_8,30.22187857,0.999999386,0.090831466,47.7324263
subject_045_qt_level_9,31.31639234,0.99999986,0.075273409,71.17913832
subject_045_simp_rate_0.05,31.41186819,0.999999684,0.072278321,47.82312925
subject_045_simp_rate_0.1,33.43834135,0.999999916,0.052790709,49.59183673
subject_045_simp_rate_0.2,35.57374532,0.999999955,0.034971122,63.03854875
subject_045_simp_rate_0.4,37.04761618,0.999999987,0.02087706,76.00907029
subject_045_sub_rate_16,32.29303329,0.99997559,0.079395376,36.98412698
subject_045_sub_rate_2,42.05932935,0.999999711,0.018148985,70.99773243
subject_045_sub_rate_4,37.31444784,0.999997835,0.049303528,58.29931973
subject_045_sub_rate_8,34.72578538,0.999992492,0.067540869,54.6031746
subject_051_cn_sigma_20,31.68506905,0.999987786,0.231726646,66.28117914
subject_051_cn_sigma_40,26.13600457,0.999808674,0.395444393,43.7414966
subject_051_cn_sigma_60,22.87701316,0.999355369,0.483644575,44.48979592
subject_051_cn_sigma_80,20.65485466,0.998681008,0.539936841,34.76190476
subject_051_gn_sigma_0.05,30.19232785,0.999999714,0.144749433,44.48979592
subject_051_gn_sigma_0.1,25.64393798,0.999997426,0.213445574,29.65986395
subject_051_gn_sigma_0.15,22.89409636,0.999988425,0.254593909,12.6984127
subject_051_gn_sigma_0.2,21.39981168,0.999978776,0.278504163,17.0521542
subject_051_jpeg_q_10,35.84922337,0.999999402,0.085485071,47.82312925
subject_051_jpeg_q_15,37.78972715,0.999999914,0.05770978,68.50340136
subject_051_jpeg_q_20,39.40379998,0.99999997,0.04157953,64.05895692
subject_051_jpeg_q_3,26.67289594,0.999970043,0.197806567,19.09297052
subject_051_qp_level_6,16.62204148,0.99837652,0.374873579,17.0521542
subject_051_qp_level_7,17.99282779,0.999444742,0.333597064,9.455782313
subject_051_qp_level_8,20.13836878,0.999988076,0.281154901,10.65759637
subject_051_qp_level_9,23.71125911,0.999995451,0.241895556,25.48752834
subject_051_qt_level_10,31.74966324,0.999999916,0.105263337,49.59183673
subject_051_qt_level_7,27.28368391,0.999999304,0.16985397,28.73015873
subject_051_qt_level_8,29.38736414,0.999999464,0.139731631,43.46938776
subject_051_qt_level_9,30.90737496,0.999999925,0.116694756,59.138322
subject_051_simp_rate_0.05,26.38245317,0.999999653,0.105461709,47.46031746
subject_051_simp_rate_0.1,32.30554172,0.999999942,0.074374564,45.69160998
subject_051_simp_rate_0.2,35.25462171,0.999999997,0.045909841,63.40136054
subject_051_simp_rate_0.4,36.65070259,0.999999991,0.026393019,71.74603175
subject_051_sub_rate_16,30.74535541,0.999974107,0.115876198,22.24489796
subject_051_sub_rate_2,41.22707404,0.999999758,0.029443674,77.12018141
subject_051_sub_rate_4,36.51830109,0.999998344,0.073410407,65.26077098
subject_051_sub_rate_8,33.68099953,0.999994177,0.098538443,46.07709751
subject_053_cn_sigma_20,33.40930599,0.999999855,0.125522271,75.53287982
subject_053_cn_sigma_40,28.01751321,0.999982207,0.259021521,56.55328798
subject_053_cn_sigma_60,24.76501265,0.999860215,0.350691766,37.25623583
subject_053_cn_sigma_80,22.39348727,0.999592748,0.410081804,32.90249433
subject_053_gn_sigma_0.05,28.82486835,0.999996594,0.123239607,55.23809524
subject_053_gn_sigma_0.1,24.3871465,0.999968422,0.192273125,45.41950113
